"module","trait","correlation","n_events","p_value","FDR","absolute_correlation"
"MEblack","conductivity_7d_spline_mean",-0.996252737326953,6,2.10366568220713e-05,0.000875954089139597,0.996252737326953
"MEblack","salinity_7d_spline_mean",-0.995912506407623,6,2.50272596897028e-05,0.000875954089139597,0.995912506407623
"MEblack","month_Aug",0.915280968674899,6,0.0104619438468167,0.211895476331145,0.915280968674899
"MEgreen","month_Jul",0.90875624456445,6,0.0121083129332083,0.211895476331145,0.90875624456445
"MEred","DO_7d_mean",-0.818053113707334,6,0.0466453583849809,0.507027548141953,0.818053113707334
"MEblack","DO_7d_mean",-0.803138679175134,6,0.0543169502738311,0.507027548141953,0.803138679175134
"MEred","conductivity_7d_spline_mean",-0.799410009764936,6,0.0563190123304231,0.507027548141953,0.799410009764936
"MEred","salinity_7d_spline_mean",-0.796424650727597,6,0.0579460055019375,0.507027548141953,0.796424650727597
"MEbrown","location_DAF",-0.765250769956184,6,0.076192615006213,0.592609227826101,0.765250769956184
"MEgreen","temperature_7d_mean",0.739371913225522,6,0.0930386574484989,0.651270602139492,0.739371913225522
"MEblue","month_Jun",0.696240486260528,6,0.124390842083054,0.683710617885145,0.696240486260528
"MEturquoise","location_DAF",-0.692423369411119,6,0.127356180528634,0.683710617885145,0.692423369411119
"MEblue","precipitation_7d_total_mm",-0.690128994330077,6,0.129153147028703,0.683710617885145,0.690128994330077
"MEblack","precipitation_7d_total_mm",0.672094425308938,6,0.143654556462549,0.683710617885145,0.672094425308938
"MEturquoise","pH_7d_available_mean",0.747374821066748,5,0.146509418118245,0.683710617885145,0.747374821066748
"MEblue","location_DAF",0.652225752694391,6,0.160389277367326,0.701703088482051,0.652225752694391
"MEgreen","month_Aug",-0.610493541257475,6,0.198025881105177,0.757000052779012,0.610493541257475
"MEbrown","pH_7d_available_mean",0.678083153801459,5,0.208342585434599,0.757000052779012,0.678083153801459
"MEred","pH_7d_available_mean",-0.639082102023131,5,0.245703019482143,0.757000052779012,0.639082102023131
"MEred","location_DAF",0.545541473271298,6,0.262868589005568,0.757000052779012,0.545541473271298
"MEred","month_Aug",0.544791045355215,6,0.263659683026285,0.757000052779012,0.544791045355215
"MEgreen","pH_7d_available_mean",0.609579172308915,5,0.275043894300776,0.757000052779012,0.609579172308915
"MEgreen","conductivity_7d_spline_mean",0.529437393301177,6,0.280045607265052,0.757000052779012,0.529437393301177
"MEgreen","salinity_7d_spline_mean",0.529285071996546,6,0.280210063250247,0.757000052779012,0.529285071996546
"MEblack","month_Jun",-0.520096164366752,6,0.290198764930587,0.757000052779012,0.520096164366752
"MEturquoise","month_Aug",0.503680978690175,6,0.308369086114543,0.757000052779012,0.503680978690175
