"module","environmental_trait","correlation","p_value","FDR"
"MEred","DO_7d_mean",-0.818053113707334,0.0466453583849809,0.570327977875226
"MEblack","DO_7d_mean",-0.803138679175134,0.0543169502738311,0.570327977875226
"MEgreen","temperature_7d_mean",0.739371913225522,0.0930386574484989,0.603349137142707
"MEblue","precipitation_7d_total_mm",-0.690128994330077,0.129153147028703,0.603349137142707
"MEblack","precipitation_7d_total_mm",0.672094425308938,0.143654556462549,0.603349137142707
"MEturquoise","precipitation_7d_total_mm",0.490178029372613,0.323621596517875,0.946186424694352
"MEbrown","DO_7d_mean",0.489470204132115,0.324428594048148,0.946186424694352
"MEblue","temperature_7d_mean",-0.447068759138938,0.374074784003946,0.946186424694352
"MEred","precipitation_7d_total_mm",0.307755837311948,0.552940584193265,0.946186424694352
"MEyellow","DO_7d_mean",-0.283329592378568,0.586377846149978,0.946186424694352
"MEyellow","temperature_7d_mean",0.261094906314344,0.617257132224793,0.946186424694352
"MEyellow","precipitation_7d_total_mm",-0.231649595988315,0.658740942506203,0.946186424694352
"MEbrown","temperature_7d_mean",0.171198358254664,0.745711278504741,0.946186424694352
"MEturquoise","temperature_7d_mean",0.166459457152787,0.752617006085387,0.946186424694352
"MEgreen","DO_7d_mean",0.160614646344003,0.761149723689339,0.946186424694352
"MEturquoise","DO_7d_mean",0.143755361071573,0.785852354063302,0.946186424694352
"MEred","temperature_7d_mean",-0.115586522060921,0.827392348982288,0.946186424694352
"MEbrown","precipitation_7d_total_mm",0.104817517480481,0.843349523716304,0.946186424694352
"MEblue","DO_7d_mean",0.0772933460090129,0.884290866310826,0.946186424694352
"MEgreen","precipitation_7d_total_mm",0.0660092534601673,0.901129928280335,0.946186424694352
"MEblack","temperature_7d_mean",-0.0156460040842548,0.97653290892452,0.97653290892452
