"module","predictor","n_events","coefficient","standard_error","t_value","p_value","confidence_low","confidence_high","R_squared","adjusted_R_squared","AIC","FDR"
"MEred","DO_7d_mean",6,-0.423059662607997,0.148718747210908,-2.84469625075599,0.0466453583849812,-0.83596910035287,-0.0101502248631239,0.669210896846264,0.58651362105783,-2.09086152434608,0.570327977875228
"MEblack","DO_7d_mean",6,-0.26614161321923,0.0987158772811716,-2.69603655003927,0.0543169502738313,-0.540220827501845,0.00793760106338498,0.645031737987178,0.556289672483972,-7.00859498859508,0.570327977875228
"MEgreen","temperature_7d_mean",6,0.0991091384229157,0.0451260780976108,2.19627192526095,0.0930386574484983,-0.0261809402279692,0.224399217073801,0.54667082606677,0.433338532583462,-7.33412790816752,0.603349137142708
"MEblue","precipitation_7d_total_mm",6,-0.0111054793135801,0.00582274049279844,-1.90725987656764,0.129153147028703,-0.0272719986536474,0.00506104002648707,0.476278028815044,0.345347536018805,-0.409254490225124,0.603349137142708
"MEblack","precipitation_7d_total_mm",6,0.00757974970500656,0.00417541238929889,1.81532960060007,0.143654556462549,-0.00401305358544458,0.0191725529954577,0.451710916531351,0.314638645664189,-4.39994925018088,0.603349137142708
"MEturquoise","precipitation_7d_total_mm",6,0.00739987350731345,0.00657913519006679,1.12474866278562,0.323621596517875,-0.0108667341875821,0.025666481202209,0.240274500479618,0.0503431255995227,1.05633287758381,0.946186424694352
"MEbrown","DO_7d_mean",6,0.170335680945554,0.151731528334329,1.12261230619276,0.324428594048147,-0.250938578202475,0.591609940093583,0.239581080733134,0.0494763509164179,-1.85019218063455,0.946186424694352
"MEblue","temperature_7d_mean",6,-0.099288977502629,0.0993291840474056,-0.999595219218177,0.374074784003946,-0.375071004354339,0.176493049349081,0.19987047539803,-0.000161905752462443,2.13362150666317,0.946186424694352
"MEred","precipitation_7d_total_mm",6,0.00541662468307083,0.00837308373578509,0.646909173966711,0.552940584193265,-0.0178307826705609,0.0286640320367026,0.094713655399578,-0.131607930750528,3.94976012452032,0.946186424694352
"MEyellow","DO_7d_mean",6,-0.0816409491258756,0.138170380328674,-0.590871566913775,0.586377846149977,-0.465263425272739,0.301981527020988,0.0802756579174058,-0.149655427603243,-2.97369379500778,0.946186424694352
"MEyellow","temperature_7d_mean",6,0.0353375566697933,0.0653245368080057,0.540953803831069,0.617257132224794,-0.146032433800107,0.216707547139694,0.0681705501032958,-0.16478681237088,-2.89523895125195,0.946186424694352
"MEyellow","precipitation_7d_total_mm",6,-0.00227169480023032,0.0047699265055935,-0.476253627297275,0.658740942506203,-0.0155151338988386,0.010971744298378,0.0536615353215495,-0.182923080848063,-2.80253603604828,0.946186424694352
"MEbrown","temperature_7d_mean",6,0.027983432015018,0.0805215107982961,0.347527408981627,0.745711278504739,-0.195580122504042,0.251546986534078,0.0293088778690928,-0.213363902663634,-0.385359237521159,0.946186424694352
"MEturquoise","temperature_7d_mean",6,0.0346815588993334,0.102720784882864,0.33762941880635,0.752617006085387,-0.250517061490769,0.319880179289436,0.0277087508756004,-0.215364061405499,2.53652216997594,0.946186424694352
"MEgreen","DO_7d_mean",6,0.0458367574154646,0.14083917183066,0.325454607689523,0.76114972368934,-0.345195471833881,0.43686898666481,0.0257970646202091,-0.217753669224739,-2.74412119048632,0.946186424694352
"MEturquoise","DO_7d_mean",6,0.0637664406023683,0.219484388019977,0.290528365947214,0.785852354063303,-0.545619914183031,0.673152795387767,0.0206656038368182,-0.224167995203977,2.57982869835079,0.946186424694352
"MEred","temperature_7d_mean",6,-0.0280769108749087,0.120640030143449,-0.232732956395347,0.827392348982287,-0.363027332057603,0.306873510307786,0.0133602440821399,-0.233299694897325,4.4660822485722,0.946186424694352
"MEbrown","precipitation_7d_total_mm",6,0.00124141094315164,0.00588915205196675,0.210796211780107,0.843349523716304,-0.015109496445297,0.0175923183316003,0.0109867119707709,-0.236266610036536,-0.273162522391247,0.946186424694352
"MEblue","DO_7d_mean",6,0.0365465859751549,0.235707566616082,0.155050542075646,0.884290866310825,-0.61788253361415,0.69097570556446,0.00597426133726905,-0.242532173328414,3.43555838686209,0.946186424694352
"MEgreen","precipitation_7d_total_mm",6,0.000641114930688559,0.0048456589982568,0.132307067195441,0.901129928280335,-0.0128125912764792,0.0140948211378563,0.0043572215423686,-0.244553473072039,-2.61350777489285,0.946186424694352
"MEblack","temperature_7d_mean",6,-0.00243527321871077,0.0778146008726733,-0.0312958389736595,0.976532908924519,-0.218483240924565,0.213612694487143,0.000244797443804542,-0.249694003195244,-0.795702575359591,0.976532908924519
