"sample_id","location","month","oyster","date_collected","station","conductivity","DO","pH","precip"
"CMT_SJ1_20Jun24_Gill","CMT","Jun","SJ1",2024-06-20,"DUML",28.1738706184586,7.01453075939063,28.1832585966543,NA
"CMT_SJ2_20Jun24_Gill","CMT","Jun","SJ2",2024-06-20,"DUML",28.1738706184586,7.01453075939063,28.1832585966543,NA
"CMT_SJ3_20Jun24_Gill","CMT","Jun","SJ3",2024-06-20,"DUML",28.1738706184586,7.01453075939063,28.1832585966543,NA
"DAF_SJ1_21Jun24_Gill","DAF","Jun","SJ1",2024-06-21,"CMAST",28.034748226538,7.22374473561067,25.2456291284034,1.778
"DAF_SJ2_21Jun24_Gill","DAF","Jun","SJ2",2024-06-21,"CMAST",28.034748226538,7.22374473561067,25.2456291284034,1.778
"DAF_SJ3_21Jun24_Gill","DAF","Jun","SJ3",2024-06-21,"CMAST",28.034748226538,7.22374473561067,25.2456291284034,1.778
"CMT_SJ1_22Jul24_Gill","CMT","Jul","SJ1",2024-07-22,"DUML",30.2051604217989,6.04460370994941,30.2207464867903,NA
"CMT_SJ2_22Jul24_Gill","CMT","Jul","SJ2",2024-07-22,"DUML",30.2051604217989,6.04460370994941,30.2207464867903,NA
"CMT_SJ3_22Jul24_Gill","CMT","Jul","SJ3",2024-07-22,"DUML",30.2051604217989,6.04460370994941,30.2207464867903,NA
"DAF_SJ1_23Jul24_Gill","DAF","Jul","SJ1",2024-07-23,"CMAST",29.8533516778523,6.61811999548889,28.2500156474117,4.33451612903226
"DAF_SJ2_23Jul24_Gill","DAF","Jul","SJ2",2024-07-23,"CMAST",29.8533516778523,6.61811999548889,28.2500156474117,4.33451612903226
"DAF_SJ3_23Jul24_Gill","DAF","Jul","SJ3",2024-07-23,"CMAST",29.8533516778523,6.61811999548889,28.2500156474117,4.33451612903226
"CMT_SJ1_19Aug24_Gill","CMT","Aug","SJ1",2024-08-19,"DUML",27.2833561927834,6.17600584729563,27.3817432379966,NA
"CMT_SJ2_19Aug24_Gill","CMT","Aug","SJ2",2024-08-19,"DUML",27.2833561927834,6.17600584729563,27.3817432379966,NA
"CMT_SJ3_19Aug24_Gill","CMT","Aug","SJ3",2024-08-19,"DUML",27.2833561927834,6.17600584729563,27.3817432379966,NA
"DAF_SJ1_20Aug24_Gill","DAF","Aug","SJ1",2024-08-20,"CMAST",27.6602951912395,6.45235095613048,26.8535357484146,2.93290322580645
"DAF_SJ2_20Aug24_Gill","DAF","Aug","SJ2",2024-08-20,"CMAST",27.6602951912395,6.45235095613048,26.8535357484146,2.93290322580645
"DAF_SJ3_20Aug24_Gill","DAF","Aug","SJ3",2024-08-20,"CMAST",27.6602951912395,6.45235095613048,26.8535357484146,2.93290322580645
