"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.TU.Chr01.1802",285.598213071537,23.7562086331232,1.78063044513043,13.3414593118355,1.32833504194739e-40,8.63550610769995e-37
"evm.TU.Chr03.3565",47.010495620022,-25.2916077618071,2.13888348491491,-11.8246776601828,2.91017653641362e-32,9.45952883161247e-29
"evm.TU.Chr03.3564",196.107517894214,-27.4777148589147,2.3539565090928,-11.6729917280861,1.75153378297748e-31,3.7955737077122e-28
"evm.TU.Chr01.2281",829.223981042347,-18.7997029870443,1.78844722727357,-10.511745999743,7.62682709338643e-26,1.23955007335263e-22
"evm.TU.Chr01.927",45.5592849759029,-22.7681345365135,2.22225664239319,-10.2455018480647,1.23979797483648e-24,1.6119853268824e-21
"evm.TU.Chr01.1803",114.314202621607,20.9784677100939,2.28833374069844,9.16757347802377,4.83785972229879e-20,5.24182100911074e-17
"evm.TU.Chr05.2391",52.3751543658752,-28.4744755568365,3.28359001738025,-8.67175116446306,4.2552477808204e-18,3.95190940330191e-15
"evm.TU.Chr02.1352",82.6229396489619,-23.7181714964122,2.80854678283177,-8.44499783354076,3.04051093148325e-17,2.47079519569658e-14
"evm.TU.Chr10.1668",77.2135560467838,21.9076499831273,2.64541283867573,8.28137282122442,1.21763327179361e-16,8.79537099992248e-14
"evm.TU.Chr06.1112",362.923933904329,-25.0662718212071,3.07224544353197,-8.15894181696303,3.37972390482935e-16,2.19715851052956e-13
"evm.TU.Chr02.1359",103.214904044461,-24.026657916234,2.96590235278151,-8.10096053691755,5.45269376594183e-16,3.22254201567162e-13
"evm.TU.Chr05.1885",35.2380704658011,-22.4297441104926,2.77665283364141,-8.07797929893792,6.58487811752175e-16,3.56735772016741e-13
"evm.TU.Chr10.570",99.0449664058151,22.6012863462849,2.89478821727827,7.80757853420276,5.82971510181329e-15,2.85289016216891e-12
"evm.TU.Chr03.264",20.0865104131477,-23.6455247126234,3.03110401098212,-7.80096117683602,6.14374131216193e-15,2.85289016216891e-12
"evm.TU.Chr02.1515",24.6577796728597,-23.4020689466694,3.32531401239,-7.03755159948025,1.95647095419439e-12,8.4793451154785e-10
