"gene_id","module"
"evm.TU.Chr05.238","turquoise"
"evm.TU.Chr05.241","turquoise"
"evm.TU.Chr05.242","turquoise"
"evm.TU.Chr05.246","blue"
"evm.TU.Chr05.257","yellow"
"evm.TU.Chr05.261","blue"
"evm.TU.Chr05.303","red"
"evm.TU.Chr05.320","yellow"
"evm.TU.Chr05.328","yellow"
"evm.TU.Chr05.423","blue"
"evm.TU.Chr05.563","turquoise"
"evm.TU.Chr05.565","grey"
"evm.TU.Chr05.567","grey"
"evm.TU.Chr05.657","green"
"evm.TU.Chr05.658","brown"
"evm.TU.Chr05.659","grey"
"evm.TU.Chr05.660","grey"
"evm.TU.Chr05.661","green"
"evm.TU.Chr05.663","grey"
"evm.TU.Chr05.799","turquoise"
"evm.TU.Chr05.800","turquoise"
"evm.TU.Chr05.830","grey"
"evm.TU.Chr05.872","turquoise"
"evm.TU.Chr05.939","blue"
"evm.TU.Chr05.940","turquoise"
"evm.TU.Chr05.956","green"
"evm.TU.Chr05.1003","brown"
"evm.TU.Chr05.1039","grey"
"evm.TU.Chr05.1073","grey"
"evm.TU.Chr05.1077","grey"
"evm.TU.Chr05.1137","red"
"evm.TU.Chr05.1231","red"
"evm.TU.Chr05.1232","red"
"evm.TU.Chr05.1237","blue"
"evm.TU.Chr05.1240","turquoise"
"evm.TU.Chr05.1264","turquoise"
"evm.TU.Chr05.1299","turquoise"
"evm.TU.Chr05.1320","brown"
"evm.TU.Chr05.1345","blue"
"evm.TU.Chr05.1367","blue"
"evm.TU.Chr05.1369","blue"
"evm.TU.Chr05.1376","turquoise"
"evm.TU.Chr05.1458","blue"
"evm.TU.Chr05.1485","yellow"
"evm.TU.Chr05.1508","turquoise"
"evm.TU.Chr05.1657","green"
"evm.TU.Chr05.1694","blue"
"evm.TU.Chr05.1732","green"
"evm.TU.Chr05.1860","blue"
"evm.TU.Chr05.1936","red"
"evm.TU.Chr05.1939","brown"
"evm.TU.Chr05.1946","black"
"evm.TU.Chr05.2025","yellow"
"evm.TU.Chr05.2063","yellow"
"evm.TU.Chr05.2138","red"
"evm.TU.Chr05.2139","red"
"evm.TU.Chr05.2171","blue"
"evm.TU.Chr05.2176","black"
"evm.TU.Chr05.2221","blue"
"evm.TU.Chr05.2269","turquoise"
"evm.TU.Chr05.2282","turquoise"
"evm.TU.Chr05.2317","grey"
"evm.TU.Chr05.2318","grey"
"evm.TU.Chr05.2338","grey"
"evm.TU.Chr05.2342","brown"
"evm.TU.Chr05.2388","yellow"
"evm.TU.Chr05.2389","turquoise"
"evm.TU.Chr05.2406","grey"
"evm.TU.Chr05.2419","grey"
"evm.TU.Chr05.2421","blue"
"evm.TU.Chr05.2423","blue"
"evm.TU.Chr05.2435","yellow"
