,CMT_SJ1_19Aug24_Gill_S203_L005,CMT_SJ1_20Jun24_Gill_S191_L005,CMT_SJ1_22Jul24_Gill_S197_L005,CMT_SJ2_19Aug24_Gill_S204_L005,CMT_SJ2_20Jun24_Gill_S192_L005,CMT_SJ2_22Jul24_Gill_S198_L005,CMT_SJ3_19Aug24_Gill_S205_L005,CMT_SJ3_20Jun24_Gill_S193_L005,CMT_SJ3_22Jul24_Gill_S199_L005,DAF_SJ1_20Aug24_Gill_S206_L005,DAF_SJ1_21Jun24_Gill_S194_L005,DAF_SJ1_23Jul24_Gill_S200_L005,DAF_SJ2_20Aug24_Gill_S207_L005,DAF_SJ2_21Jun24_Gill_S195_L005,DAF_SJ2_23Jul24_Gill_S201_L005,DAF_SJ3_20Aug24_Gill_S208_L005,DAF_SJ3_21Jun24_Gill_S196_L005,DAF_SJ3_23Jul24_Gill_S202_L005
evm.TU.Chr05.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr05.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr05.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr05.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr05.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr05.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr05.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr05.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr05.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr05.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr05.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.Chr05.20,4,0,0,9,0,0,0,15,3,0,5,0,1,6,6,0,3,0
evm.TU.Chr05.21,2,5,92,4,19,1,20,10,12,3,4,10,0,0,51,18,8,4
evm.TU.Chr05.26,0,53,1,98,55,17,0,24,73,7,25,27,1,18,2,145,13,0
evm.TU.Chr05.28,1641,1670,1903,1066,951,2325,2910,1152,2893,1230,2865,652,2242,2150,2215,1574,2130,1609
evm.TU.Chr05.29,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,5
evm.TU.Chr05.30,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,0,10
evm.TU.Chr05.31,4,26,117,80,165,74,184,28,45,111,97,190,65,72,58,167,49,125
evm.TU.Chr05.35,69,13,0,0,45,228,1,0,36,164,107,0,64,57,0,18,9,30
evm.TU.Chr05.36,20,0,0,23,2,2,0,3,2,0,2,0,0,2,36,0,2,1
evm.TU.Chr05.37,889,1379,669,719,1169,1107,1106,1283,1645,1111,1061,1521,1141,1456,1346,1255,798,1519
evm.TU.Chr05.38,721,1227,772,912,925,879,839,875,1101,790,778,1125,679,864,993,689,845,901
evm.TU.Chr05.39,361,585,537,457,303,548,421,322,319,519,425,433,229,570,318,349,399,372
evm.TU.Chr05.40,482,835,811,977,633,969,691,570,743,617,646,586,529,805,635,654,605,557
evm.TU.Chr05.41,655,966,840,655,1456,968,675,867,707,896,772,1194,614,1146,938,676,859,738
evm.TU.Chr05.42,1502,2278,927,1280,2008,1738,1184,1319,1243,1395,1165,1741,1015,1388,1384,1123,1684,1632
evm.TU.Chr05.43,9821,9263,8898,9429,9359,10702,6173,9610,7999,7282,9839,10441,7381,8742,9887,7744,10088,8910
evm.TU.Chr05.44,744,701,707,701,563,918,693,547,792,514,820,673,590,722,717,475,467,1115
evm.TU.Chr05.45,255,460,456,545,490,680,582,479,545,580,505,673,452,388,401,547,597,509
evm.TU.Chr05.46,2115,776,1657,399,733,1826,1995,1366,1003,743,1045,1738,1262,1846,993,904,632,837
evm.TU.Chr05.47,108,75,136,51,117,75,71,76,138,51,126,399,86,75,113,75,148,57
evm.TU.Chr05.48,6538,5707,2982,2913,4013,2452,5221,4378,2091,2693,2821,3193,2318,2519,4259,2982,3161,3093
evm.TU.Chr05.49,57,129,221,39,169,155,28,12,134,8,108,213,68,157,70,39,90,52
evm.TU.Chr05.50,4,10,0,7,53,11,5,49,25,20,4,69,16,12,8,11,25,30
evm.TU.Chr05.51,1488,1817,2159,1635,1480,1321,981,3247,1497,763,2608,1869,986,1037,991,1031,2011,1134
evm.TU.Chr05.52,144,83,131,113,0,56,63,17,98,98,44,88,61,55,47,125,84,97
evm.TU.Chr05.53,5,6,3,0,0,5,1,2,3,4,2,4,0,8,0,0,0,2
evm.TU.Chr05.54,1571,1679,3277,1279,1435,1888,1197,1361,1681,1380,2010,1570,946,1726,1759,1357,1347,1987
evm.TU.Chr05.55,11,35,22,27,62,37,31,39,31,7,25,34,3,31,11,26,31,4
evm.TU.Chr05.56,70,31,29,76,147,41,22,89,68,96,115,57,25,9,55,78,125,112
evm.TU.Chr05.57,37,0,0,1,0,0,88,0,21,55,2,18,0,0,97,55,0,61
evm.TU.Chr05.58,1145,830,1759,731,1833,1438,1131,2322,945,966,1038,1721,927,1172,1692,1403,2376,973
evm.TU.Chr05.59,615,2131,681,1262,903,888,975,1006,770,1668,2633,785,1653,716,3935,3585,791,3201
evm.TU.Chr05.60,21,74,23,2,42,6,1,5,17,1,1,99,1,1,2,1,0,0
evm.TU.Chr05.61,332,359,48,11,237,24,33,14,110,132,17,308,5,4,4,7,8,3
evm.TU.Chr05.62,1,0,0,0,0,0,1,3,3,25,0,1,2,0,0,5,1,0
evm.TU.Chr05.63,51,32,1,0,40,0,6,0,18,23,0,57,1,0,0,1,1,0
evm.TU.Chr05.64,1,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,1,2
evm.TU.Chr05.65,9416,12421,7466,10951,10851,10741,10469,10770,12630,6790,10864,11299,9075,8335,9628,7776,9131,7669
evm.TU.Chr05.67,45,191,112,194,184,141,97,119,159,194,157,155,130,115,145,99,204,120
evm.TU.Chr05.68,33,2544,675,1300,2536,1449,949,964,2470,1747,2144,1584,1935,1654,1659,2552,2925,1185
evm.TU.Chr05.69,20,35,3,52,38,3,23,26,49,14,30,28,14,1,55,27,51,27
